"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"42","LA EFICIENCIA Y LA SOLIDARIDAD SON LA BASE DE LA PROSPERIDAD. https://t.co/mO84Zpt3JX",FALSE,494,NA,2019-10-04 23:17:28,FALSE,NA,"1180260678227111936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",196,FALSE,FALSE,NA,NA
"43","Comparto con ustedes el video del enlace radial donde hablo de la difícil situación del país. https://t.co/x0XxrHT14B",FALSE,530,NA,2019-10-04 15:59:47,FALSE,NA,"1180150532536782849",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",260,FALSE,FALSE,NA,NA
"44","En Napo transmitirán Radio Olímpica y Oriental.",FALSE,54,"jaimenebotsaadi",2019-10-04 04:21:46,FALSE,"1179958425146593281","1179974868978282497","24776620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",9,FALSE,FALSE,NA,NA
"45","Radio Fantástica y Radio Andina (Riobamba)",FALSE,79,"jaimenebotsaadi",2019-10-04 03:16:25,FALSE,"1179956861556133889","1179958425146593281","24776620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",16,FALSE,FALSE,NA,NA
"46","Radio CRE Satelital (Guayas) , Radio Farra (Portoviejo) , Radio Café y Radio Caribe ( Manabí)",FALSE,80,"jaimenebotsaadi",2019-10-04 03:10:12,FALSE,"1179954244792786944","1179956861556133889","24776620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",25,FALSE,FALSE,NA,NA
"47","Al país mañana 4 de Octubre 7h30 https://t.co/hqcVvodjDf",FALSE,688,NA,2019-10-04 02:59:49,FALSE,NA,"1179954244792786944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",299,FALSE,FALSE,NA,NA
"48","Al país https://t.co/4kzrI1ZWrx",FALSE,3395,NA,2019-10-03 23:18:04,FALSE,NA,"1179898441520029702",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",1073,FALSE,FALSE,NA,NA
"49","Mentira, montaje falso! https://t.co/5DgPVsRb4V",FALSE,653,NA,2019-10-03 15:28:43,FALSE,NA,"1179780325007859713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",359,FALSE,FALSE,NA,NA
"50","Por fin se resolverá el importante problema del dragado del río Guayas, mediante un nuevo concurso público, interna… https://t.co/tIzqTRpLFi",FALSE,395,NA,2019-09-29 16:59:09,TRUE,NA,"1178353531096649733",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",109,FALSE,FALSE,NA,NA
"51","Mi compromiso nacional por el progreso del agro es total y no tiene vuelta atrás https://t.co/I0pQ7Hlrnj",FALSE,818,NA,2019-09-27 22:01:43,FALSE,NA,"1177704898609254401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",298,FALSE,FALSE,NA,NA
